sprint,workstream,epic,task_id,task,priority,dependency,deliverable,acceptance_criteria,maturity_from,maturity_to
S01,WS1,Baseline audit,S01-01,Inventory production pages and core scripts,P0,,Architecture inventory,All production pages scripts tests and service-worker dependencies listed,L2,L3
S01,WS1,Branch reconciliation,S01-02,Reconcile feat/aibis-foundation with current main,P0,S01-01,Updated experimental branch,Branch contains latest main commits and no unresolved conflict,L2,L3
S01,WS1,CI baseline,S01-03,Run current engine Brand Passport and page smoke tests,P0,S01-01,Baseline test report,All existing test outcomes recorded with failures assigned,L3,L3
S01,Governance,Scope freeze,S01-04,Freeze non-core feature expansion until pilot gate,P0,,Scope decision record,New work maps to Startup AIBIS Instructor or required quality,L1,L2
S02,WS1,Canonical state,S02-01,Define versioned GameState schema,P0,S01-01,GameState specification,Schema covers session class team seed round company decisions outcomes and version,L2,L3
S02,WS1,Seed utility,S02-02,Extract deterministic seed generation,P0,S02-01,Seed module,Same input produces same random sequence across tests,L3,L4
S02,WS1,Engine version,S02-03,Attach engine version to saves exports and results,P0,S02-01,Version module,Every result and export identifies engine version,L2,L4
S02,WS1,Scoring boundaries,S02-04,Add boundary and NaN tests for all KPIs,P0,S02-01,Automated tests,No tested decision path produces NaN Infinity or invalid range,L2,L4
S03,WS1,Persistence,S03-01,Implement autosave after committed decisions,P0,S02-01,Autosave service,Reload restores latest committed state,L2,L4
S03,WS1,Resume,S03-02,Implement resume flow and session summary,P0,S03-01,Resume UI,User resumes correct round KPIs and selected mode,L2,L4
S03,WS1,Migration,S03-03,Implement state migrations between schema versions,P0,S02-03,Migration registry,Old supported saves migrate without data loss,L1,L3
S03,WS1,Recovery,S03-04,Handle corrupted or partial local storage,P0,S03-01,Recovery flow,Corrupted state shows recovery options and never blank screen,L1,L4
S04,WS1,Full-game QA,S04-01,Run 100 deterministic six-round simulations,P0,S02-04,Simulation report,100 seeds complete without uncaught error or invalid KPI,L3,L4
S04,WS1,Mobile QA,S04-02,Test completion at 390px and common mobile browsers,P0,S03-02,Mobile QA report,At least 90 percent scripted mobile flows complete,L2,L4
S04,WS1,Accessibility,S04-03,Keyboard and focus audit for core game flow,P0,S03-02,Accessibility report,Core decisions operable by keyboard with visible focus,L2,L4
S04,WS1,Performance,S04-04,Confirm LCP CLS and page weight budgets,P1,S01-03,Performance report,Core pilot pages meet documented budgets or have approved exception,L3,L4
S05,WS2,Class setup,S05-01,Create class ID and team ID workflow,P0,S02-01,Class setup module,Instructor creates class and teams without code edits,L2,L4
S05,WS2,Shared seed,S05-02,Create instructor shared-seed generator,P0,S05-01,Seed generator,All team links carry the same validated seed and class context,L2,L4
S05,WS2,Mode control,S05-03,Configure Basic Advanced and AI modes per class,P1,S05-01,Class configuration,Selected modes are enforced and exported,L1,L3
S05,WS2,Onboarding,S05-04,Create three-minute instructor quick-start flow,P0,S05-01,Quick-start guide,A new instructor can configure a class in under three minutes,L2,L4
